deal_count,location,price,shop,title
300+人付款,山东 济南,4019.00,三际数码官方旗舰店,24期免息当天发 vivo X80 天玑9000旗舰新品5G全网通 vivo x80 vivox80pro x80  vivo官方旗舰店
300+人付款,江苏 南京,5599.00,中国电信官方旗舰店,【128GB到手4599元起】Apple/苹果iPhone 12#移动联通电信5G全网通双卡双待正品原装智能官方旗舰 学生
3人付款,浙江 杭州,1999.00,中国移动官方旗舰店,【移动用户专享180+200移动话费】vivo s15e新品5g中国移动官旗vivos15evivos15e s15pro vivo官方旗舰店
17人付款,江苏 南京,2699.00,中国电信官方旗舰店,【官方正品】vivo S15#新品骁龙870拍照智能游戏电竞学生5G正品官方旗舰店S12pro新款 vivo官方旗舰店
1000+人付款,广东 东莞,2699.00,realme官方旗舰店,【至高立省900】真我GT大师探索版 骁龙870处理器三星全面屏65W快充大电池拍照学生游戏智能官方gt大师
300+人付款,广东 广州,2099.00,中国移动手机官方旗舰店,【移动用户专享】realme真我GTNeo2T天玑1200-AI5G处理器65W智慧闪充学生智能拍照游戏
45人付款,上海,4898.00,壹品良机旗舰店,【24期免息/现货速发】Apple/苹果 iPhone 12 5G官方正品旗舰店新款苹果12mini官网直降12pro 国行13
100+人付款,北京,5699.00,thinkpad官方旗舰店,【99爆款推荐】联想ThinkBook14+ 12代英特尔酷睿i5/i7标压 16G 512G 4G独显电竞本轻薄便携学生
200+人付款,上海,4499.00,asus华硕官方旗舰店,【99预售】华硕无畏16 2022 锐龙5 5600H标压高性能轻薄学生办公180°开合官方旗舰店官网
400+人付款,广东 广州,4199.00,机械革命旗舰店,机械革命蛟龙5轻薄游戏设计师RTX3060 AMD锐龙R7学生游戏本电竞屏15.6英寸
500+人付款,广东 广州,5799.00,机械革命旗舰店,【新品推荐】机械革命极光E/极光Pro 12代英特尔酷睿i7-12700H游戏轻薄学生电竞RTX3060设计师本
20人付款,江苏 南京,5199.00,asus华硕恩荣专卖店,Asus华硕天选3 新AMD锐龙R7处理器游戏吃鸡高配置电竞学生RTX3060手提官方旗舰店官网2022新品
14人付款,江苏 南京,4059.00,中楚电子科技,Dell/戴尔 灵越13pro 5320  12代酷睿i7女生轻薄2.5K屏
100+人付款,北京,3999.00,thinkpad官方旗舰店,【爆款推荐】联想ThinkPadThinkBook14/15 英特尔酷睿i5/i7 16G 512G 轻薄商务ThinkPad官方旗舰店
600+人付款,上海,4199.00,asus华硕官方旗舰店,【爆款热卖】华硕VivoBook15 11代英特尔酷睿i3轻薄本15.6英寸大屏轻薄办公学生商务官方旗舰店
100+人付款,广东 广州,1399.00,中国移动手机官方旗舰店,【正品顺丰包邮】vivo y72t 最新款5g千元学生价智能全网通vivoY72t老年人机官方旗舰店官网旗舰上市
100+人付款,广东 广州,2299.00,中国移动手机官方旗舰店,【正品顺丰包邮】vivo iQOO Z5 5g全网通 vivoz5 ioqqz5 iq00z5 爱酷 iqz5 vivo官方旗舰店
2人付款,浙江 金华,4199.00,能良数码官方旗舰店,【顺丰现货速发】vivo iqoo 9pro【三年质保+碎屏保】iqoo9p 新品iq9 官网官方旗舰店支持爱购上海消费券
800+人付款,广东 东莞,4399.00,iqoo手机官方旗舰店,【6日20点疯抢5折 赢前300加赠】vivo iQOO 9骁龙8智能120W闪充5g游戏电竞vivoiqoo9爱酷官方旗舰店官网
23人付款,浙江 杭州,2699.00,中国移动官方旗舰店,【至高立减300】移动用户专享HONOR/荣耀70 5G 中国移动官旗 大内存新品正品智能机
100+人付款,浙江 杭州,1299.00,中国移动官方旗舰店,【realme Q5 移动用户专享 至高立省320】全网通 中国移动官旗 真我q5 千元机 5G 60w闪充 智能机 高刷屏
300+人付款,广东 深圳,1699.00,oppo聚洪欧珀专卖店,【新品上市】OPPO A96新款5g全网通智能oppo官方旗舰店官网oppoa96 a95 a93s限量版正品0pp0
1000+人付款,广东 东莞,999.00,oppo官方旗舰店,OPPO A36 大电池大内存智能拍照官方旗舰店 oppoa36 老人学生 a32
400+人付款,山东 济南,2599.00,三际数码官方旗舰店,至高立减540vivo iQOO Neo6se 5g iqooneo6se vivo iQOO iqooneo7 neo6se neo6 iq00vivo neo5旗舰店
400+人付款,江苏 南京,6799.00,翼天下天翼电信旗舰店,【领88券可减100元 赠碎屏险+壳膜】Apple/苹果iPhone 13全网通5G原装国行苹果13中国电信官网旗舰店
58人付款,江苏 南京,7190.00,尤里xx,Apple/苹果 iPhone 13 Pro 5G Max苹果13pro iPhone13pro国行
500+人付款,广东 广州,5999.00,中国移动手机官方旗舰店,【抢先收藏 全国联保1年 移动用户专享】苹果13iPhone13苹果官方旗舰苹果5G新品苹果13国行正品
89人付款,江苏 南京,6409.00,苏宁易购官方旗舰店,【立减610】Huawei/华为MateBook 14s 英特尔i5 办公学习便携触控屏智慧性能轻薄本苏宁旗舰店1943
300+人付款,北京,5699.00,thinkpad官方旗舰店,【2022新品】联想ThinkBook 16+ 12代英特尔标压酷睿i5/i7 16G 512G 4G独显电竞本16英寸轻薄
100+人付款,北京,6099.00,戴尔官方旗舰店,【新品上市】DELL/戴尔 灵越16Pro 12代英特尔酷睿i5/i7 16英寸轻薄本手提5620官方商务办公便携
100+人付款,北京,13999.00,alienware外星人旗舰店,【天猫V榜】ALIENWARE外星人m15 R715.6英寸12代英特热酷睿i7 RTX3060游戏本2K屏电竞玩家2022年新
300+人付款,北京,9499.00,alienware外星人旗舰店,【官方旗舰】ALIENWARE外星人m15游戏本R5锐龙版AMD游戏本独立显卡RTX3050Ti戴尔DELL高端电竞学生
2万+人付款,广东 深圳,24.90,飞利浦凯网专卖店,飞利浦键盘鼠标套装USB有线电脑台式笔记本办公专用打字机械手感
200+人付款,广东 深圳,6099.00,华为官方旗舰店,华为HUAWEI MateBook 16 AMD R5/R7 16GB+512GB Windows 11 16英寸2.5K专业级全面屏
300+人付款,北京,3999.00,thinkpad官方旗舰店,【开学促销】联想ThinkPadThinkBook14/15 英特尔酷睿i5/i7 16G 512G 轻薄商务ThinkPad官方旗舰店
400+人付款,上海,8499.00,asus华硕官方旗舰店,【2022新品】华硕灵耀Pro16 12代英特尔酷睿i7 3050Ti 120Hz高性能设计商务游戏办公轻薄
